"","Generation","Identity","Population","Frequency","Group_id","Unique_id"
"124",1.5,"genotype-3",0,0,"genotype-3a","genotype-3a_1.5"
"106",1.5,"genotype-15",0,0,"genotype-15","genotype-15_1.5"
"122",1.5,"genotype-15",0,0,"genotype-15a","genotype-15a_1.5"
"103",1.5,"genotype-11",0,0,"genotype-11","genotype-11_1.5"
"119",1.5,"genotype-11",0,0,"genotype-11a","genotype-11a_1.5"
"102",1.5,"genotype-1",0,0,"genotype-1","genotype-1_1.5"
"118",1.5,"genotype-1",0,0,"genotype-1a","genotype-1a_1.5"
"105",1.5,"genotype-14",0,0,"genotype-14","genotype-14_1.5"
"121",1.5,"genotype-14",0,0,"genotype-14a","genotype-14a_1.5"
"107",1.5,"genotype-2",0,0,"genotype-2","genotype-2_1.5"
"123",1.5,"genotype-2",0,0,"genotype-2a","genotype-2a_1.5"
"128",1.5,"genotype-9",0,0,"genotype-9a","genotype-9a_1.5"
"101",1.5,"genotype-10",1.60833333333333,0.0244799594114663,"genotype-10","genotype-10_1.5"
"117",1.5,"genotype-10",1.60833333333333,0.0244799594114663,"genotype-10a","genotype-10a_1.5"
"114",1.5,"genotype-4",4.775,0.0726788432267884,"genotype-4a","genotype-4a_1.5"
"120",1.5,"genotype-13",0,0,"genotype-13a","genotype-13a_1.5"
"99",1.5,"genotype-8",4.675,0.0711567732115677,"genotype-8","genotype-8_1.5"
"100",1.5,"genotype-12",3.375,0.0513698630136986,"genotype-12","genotype-12_1.5"
"116",1.5,"genotype-12",3.375,0.0513698630136986,"genotype-12a","genotype-12a_1.5"
"115",1.5,"genotype-8",4.675,0.0711567732115677,"genotype-8a","genotype-8a_1.5"
"113",1.5,"genotype-0",18.4166666666667,0.280314561136479,"genotype-0a","genotype-0a_1.5"
"131",2,"genotype-0",6.38333333333334,0.0638333333333334,"genotype-0","genotype-0_2"
"129",2,"genotype-7",23.5,0.235,"genotype-7","genotype-7_2"
"145",2,"genotype-7",23.5,0.235,"genotype-7a","genotype-7a_2"
"136",2,"genotype-13",0.5,0.005,"genotype-13","genotype-13_2"
"132",2,"genotype-4",4,0.04,"genotype-4","genotype-4_2"
"130",2,"genotype-9",10.3,0.103,"genotype-9","genotype-9_2"
"144",2,"genotype-6",0,0,"genotype-6","genotype-6_2"
"160",2,"genotype-6",0,0,"genotype-6a","genotype-6a_2"
"143",2,"genotype-5",0,0,"genotype-5","genotype-5_2"
"159",2,"genotype-5",0,0,"genotype-5a","genotype-5a_2"
"142",2,"genotype-3",0,0,"genotype-3","genotype-3_2"
"158",2,"genotype-3",0,0,"genotype-3a","genotype-3a_2"
"140",2,"genotype-15",0,0,"genotype-15","genotype-15_2"
"156",2,"genotype-15",0,0,"genotype-15a","genotype-15a_2"
"138",2,"genotype-11",0,0,"genotype-11","genotype-11_2"
"154",2,"genotype-11",0,0,"genotype-11a","genotype-11a_2"
"137",2,"genotype-1",0,0,"genotype-1","genotype-1_2"
"153",2,"genotype-1",0,0,"genotype-1a","genotype-1a_2"
"139",2,"genotype-14",0,0,"genotype-14","genotype-14_2"
"155",2,"genotype-14",0,0,"genotype-14a","genotype-14a_2"
"141",2,"genotype-2",0,0,"genotype-2","genotype-2_2"
"157",2,"genotype-2",0,0,"genotype-2a","genotype-2a_2"
"146",2,"genotype-9",10.3,0.103,"genotype-9a","genotype-9a_2"
"135",2,"genotype-10",1.26666666666667,0.0126666666666667,"genotype-10","genotype-10_2"
"151",2,"genotype-10",1.26666666666667,0.0126666666666667,"genotype-10a","genotype-10a_2"
"148",2,"genotype-4",4,0.04,"genotype-4a","genotype-4a_2"
"152",2,"genotype-13",0.5,0.005,"genotype-13a","genotype-13a_2"
"134",2,"genotype-8",1.65,0.0165,"genotype-8","genotype-8_2"
"133",2,"genotype-12",2.4,0.024,"genotype-12","genotype-12_2"
"149",2,"genotype-12",2.4,0.024,"genotype-12a","genotype-12a_2"
"150",2,"genotype-8",1.65,0.0165,"genotype-8a","genotype-8a_2"
"147",2,"genotype-0",6.38333333333334,0.0638333333333334,"genotype-0a","genotype-0a_2"
"167",2.5,"genotype-0",3.19166666666667,0.0341750691532079,"genotype-0","genotype-0_2.5"
"161",2.5,"genotype-7",13.175,0.141072543945748,"genotype-7","genotype-7_2.5"
"177",2.5,"genotype-7",13.175,0.141072543945748,"genotype-7a","genotype-7a_2.5"
"162",2.5,"genotype-13",9.875,0.105737485500134,"genotype-13","genotype-13_2.5"
"166",2.5,"genotype-4",3.5125,0.0376104220576425,"genotype-4","genotype-4_2.5"
"163",2.5,"genotype-9",7.35,0.0787008119925047,"genotype-9","genotype-9_2.5"
"176",2.5,"genotype-6",0,0,"genotype-6","genotype-6_2.5"
"192",2.5,"genotype-6",0,0,"genotype-6a","genotype-6a_2.5"
