Generation	Identity	Population
6	genotype-16	0.0
7	genotype-16	0.0
8	genotype-16	0.0
9	genotype-16	17.7
10	genotype-16	29.2
0	genotype-30	0.0
1	genotype-30	4.2
2	genotype-30	1.3
3	genotype-30	17.3
5	genotype-30	0.0
6	genotype-30	0.0
7	genotype-30	0.0
8	genotype-30	0.0
9	genotype-30	0.0
10	genotype-30	0.0
0	genotype-24	0.0
1	genotype-24	3.4000000000000004
2	genotype-24	3.7000000000000006
3	genotype-24	17.4
5	genotype-24	0.0
6	genotype-24	0.0
7	genotype-24	0.0
8	genotype-24	0.0
9	genotype-24	0.0
10	genotype-24	0.0
0	genotype-15	0.0
1	genotype-15	4.1
2	genotype-15	2.6
3	genotype-15	14.6
5	genotype-15	0.0
6	genotype-15	0.0
7	genotype-15	0.0
8	genotype-15	0.0
9	genotype-15	0.0
10	genotype-15	0.0
0	genotype-29	0.0
1	genotype-29	0.0
2	genotype-29	2.1
3	genotype-29	15.8
5	genotype-29	0.0
6	genotype-29	0.0
7	genotype-29	0.0
8	genotype-29	0.0
9	genotype-29	0.0
10	genotype-29	0.0
0	genotype-22	0.0
1	genotype-22	0.0
2	genotype-22	0.0
3	genotype-22	0.0
5	genotype-22	0.0
6	genotype-22	2.7
7	genotype-22	13.699999999999998
8	genotype-22	14.7
9	genotype-22	9.7
10	genotype-22	6.3
0	genotype-27	0.0
1	genotype-27	0.0
2	genotype-27	0.0
3	genotype-27	0.0
5	genotype-27	0.0
6	genotype-27	0.0
7	genotype-27	11.5
8	genotype-27	9.7
9	genotype-27	5.7
10	genotype-27	0.0
0	genotype-17	0.0
1	genotype-17	0.0
2	genotype-17	0.0
3	genotype-17	0.0
5	genotype-17	0.0
6	genotype-17	6.7
7	genotype-17	8.8
8	genotype-17	11.9
9	genotype-17	9.8
10	genotype-17	6.1
0	genotype-23	0.0
1	genotype-23	0.0
2	genotype-23	0.0
3	genotype-23	0.0
5	genotype-23	0.0
6	genotype-23	0.0
7	genotype-23	0.0
8	genotype-23	18.0
9	genotype-23	9.8
10	genotype-23	0.0
0	genotype-8	0.0
1	genotype-8	0.0
2	genotype-8	0.0
3	genotype-8	0.0
5	genotype-8	0.0
6	genotype-8	0.0
7	genotype-8	0.0
8	genotype-8	15.8
9	genotype-8	10.1
10	genotype-8	19.5
0	genotype-7	0.0
1	genotype-7	0.0
2	genotype-7	0.0
3	genotype-7	0.0
5	genotype-7	0.0
6	genotype-7	0.0
7	genotype-7	0.0
8	genotype-7	4.9
9	genotype-7	12.2
10	genotype-7	6.6000000000000005
0	genotype-12	32.300000000000004
1	genotype-12	15.400000000000002
2	genotype-12	3.3000000000000003
3	genotype-12	11.3
5	genotype-12	0.0
6	genotype-12	0.0
7	genotype-12	0.0
8	genotype-12	0.0
9	genotype-12	0.0
10	genotype-12	0.0
0	genotype-18	9.000000000000002
1	genotype-18	1.0
2	genotype-18	3.15
3	genotype-18	0.0
5	genotype-18	0.0
6	genotype-18	0.0
7	genotype-18	0.0
8	genotype-18	0.0
9	genotype-18	0.0
10	genotype-18	0.0
0	genotype-31	7.1
1	genotype-31	5.1
2	genotype-31	2.2
3	genotype-31	0.0
5	genotype-31	0.0
6	genotype-31	0.0
7	genotype-31	0.0
8	genotype-31	0.0
9	genotype-31	0.0
10	genotype-31	0.0
0	genotype-26	5.3
1	genotype-26	4.1
2	genotype-26	0.0
3	genotype-26	0.0
5	genotype-26	0.0
6	genotype-26	0.0
7	genotype-26	0.0
8	genotype-26	0.0
9	genotype-26	0.0
10	genotype-26	0.0
0	genotype-1	1.4
1	genotype-1	3.8
2	genotype-1	1.6500000000000001
3	genotype-1	0.0
5	genotype-1	0.0
6	genotype-1	0.0
7	genotype-1	0.0
8	genotype-1	0.0
9	genotype-1	0.0
10	genotype-1	0.0
0	genotype-2	0.0
1	genotype-2	6.6000000000000005
2	genotype-2	1.3
3	genotype-2	0.0
5	genotype-2	0.0
6	genotype-2	0.0
7	genotype-2	0.0
8	genotype-2	0.0
9	genotype-2	0.0
10	genotype-2	0.0
0	genotype-13	0.0
1	genotype-13	0.0
2	genotype-13	0.9000000000000001
3	genotype-13	0.7
5	genotype-13	1.3
6	genotype-13	4.0
7	genotype-13	2.7
8	genotype-13	0.0
9	genotype-13	0.0
10	genotype-13	0.0
0	genotype-21	0.0
1	genotype-21	0.0
2	genotype-21	0.0
3	genotype-21	0.0
5	genotype-21	0.0
6	genotype-21	0.0
7	genotype-21	9.4
8	genotype-21	0.0
9	genotype-21	8.0
10	genotype-21	7.3
0	genotype-11	0.0
1	genotype-11	0.0
2	genotype-11	0.0
3	genotype-11	0.0
5	genotype-11	0.0
6	genotype-11	0.0
7	genotype-11	0.0
8	genotype-11	7.3
9	genotype-11	8.7
10	genotype-11	9.0
0	genotype-0	42.8
1	genotype-0	41.36
2	genotype-0	0.0
3	genotype-0	0.0
5	genotype-0	0.0
6	genotype-0	0.0
7	genotype-0	0.0
8	genotype-0	0.0
9	genotype-0	0.0
10	genotype-0	0.0
