	candidate	identity	score
249	genotype-14	genotype-12	-2.0
250	genotype-25	genotype-12	0.0
251	genotype-6	genotype-12	0.0
252	genotype-19	genotype-12	0.0
253	genotype-12	genotype-18	1.01
254	genotype-7	genotype-18	-3.0
255	genotype-8	genotype-18	-2.0
256	genotype-23	genotype-18	-3.0
257	genotype-17	genotype-18	-2.0
258	genotype-27	genotype-18	-3.0
259	genotype-22	genotype-18	-2.0
260	genotype-29	genotype-18	-3.0
261	genotype-15	genotype-18	-3.0
262	genotype-24	genotype-18	-3.0
263	genotype-30	genotype-18	-3.0
264	genotype-16	genotype-18	-2.0
265	genotype-3	genotype-18	-2.0
266	genotype-5	genotype-18	-2.0
267	genotype-28	genotype-18	-2.0
268	genotype-20	genotype-18	-2.0
269	genotype-9	genotype-18	-2.0
270	genotype-4	genotype-18	0.0
271	genotype-10	genotype-18	0.0
272	genotype-14	genotype-18	0.0
273	genotype-25	genotype-18	0.0
274	genotype-6	genotype-18	0.0
275	genotype-19	genotype-18	0.0
276	genotype-18	genotype-31	0.0
277	genotype-12	genotype-31	1.01
278	genotype-7	genotype-31	-3.0
279	genotype-8	genotype-31	-2.0
280	genotype-23	genotype-31	-3.0
281	genotype-17	genotype-31	-2.0
282	genotype-27	genotype-31	-3.0
283	genotype-22	genotype-31	-2.0
284	genotype-29	genotype-31	-3.0
285	genotype-15	genotype-31	-3.0
286	genotype-24	genotype-31	-3.0
287	genotype-30	genotype-31	-3.0
288	genotype-16	genotype-31	-2.0
289	genotype-3	genotype-31	-2.0
290	genotype-5	genotype-31	-2.0
291	genotype-28	genotype-31	-2.0
292	genotype-20	genotype-31	-2.0
293	genotype-9	genotype-31	-2.0
294	genotype-4	genotype-31	0.0
295	genotype-10	genotype-31	0.0
296	genotype-14	genotype-31	0.0
297	genotype-25	genotype-31	0.0
298	genotype-6	genotype-31	0.0
299	genotype-19	genotype-31	0.0
300	genotype-31	genotype-26	0.0
301	genotype-18	genotype-26	0.0
302	genotype-12	genotype-26	1.01
303	genotype-7	genotype-26	-3.0
304	genotype-8	genotype-26	-2.0
305	genotype-23	genotype-26	-2.0
306	genotype-17	genotype-26	-2.0
307	genotype-27	genotype-26	-2.0
308	genotype-22	genotype-26	-2.0
309	genotype-29	genotype-26	-3.0
310	genotype-15	genotype-26	-3.0
311	genotype-24	genotype-26	-2.0
312	genotype-30	genotype-26	-3.0
313	genotype-16	genotype-26	-2.0
314	genotype-3	genotype-26	-2.0
315	genotype-5	genotype-26	-2.0
316	genotype-28	genotype-26	0.0
317	genotype-20	genotype-26	-2.0
318	genotype-9	genotype-26	-2.0
319	genotype-4	genotype-26	0.0
320	genotype-10	genotype-26	0.0
321	genotype-14	genotype-26	0.0
322	genotype-25	genotype-26	0.0
323	genotype-6	genotype-26	0.0
324	genotype-19	genotype-26	0.0
325	genotype-26	genotype-1	-3.0
326	genotype-31	genotype-1	0.0
327	genotype-18	genotype-1	1.01
328	genotype-12	genotype-1	1.01
329	genotype-7	genotype-1	-2.0
330	genotype-8	genotype-1	-2.0
331	genotype-23	genotype-1	-2.0
332	genotype-17	genotype-1	-2.0
333	genotype-27	genotype-1	-2.0
334	genotype-22	genotype-1	-2.0
335	genotype-29	genotype-1	-3.0
336	genotype-15	genotype-1	-1.0
337	genotype-24	genotype-1	0.0
338	genotype-30	genotype-1	0.0
339	genotype-16	genotype-1	-2.0
340	genotype-3	genotype-1	-2.0
341	genotype-5	genotype-1	-2.0
342	genotype-28	genotype-1	0.0
343	genotype-20	genotype-1	0.0
344	genotype-9	genotype-1	0.0
345	genotype-4	genotype-1	0.0
346	genotype-10	genotype-1	0.0
347	genotype-14	genotype-1	0.0
348	genotype-25	genotype-1	0.0
349	genotype-6	genotype-1	1.01
350	genotype-19	genotype-1	0.0
351	genotype-1	genotype-2	-3.0
352	genotype-26	genotype-2	-3.0
353	genotype-31	genotype-2	-3.0
354	genotype-18	genotype-2	1.01
355	genotype-12	genotype-2	1.01
356	genotype-7	genotype-2	-2.0
357	genotype-8	genotype-2	-2.0
358	genotype-23	genotype-2	-2.0
359	genotype-17	genotype-2	-2.0
360	genotype-27	genotype-2	-2.0
361	genotype-22	genotype-2	-2.0
362	genotype-29	genotype-2	-3.0
363	genotype-15	genotype-2	-3.0
364	genotype-24	genotype-2	-2.0
365	genotype-30	genotype-2	-3.0
366	genotype-16	genotype-2	-2.0
367	genotype-3	genotype-2	-2.0
368	genotype-5	genotype-2	-2.0
369	genotype-28	genotype-2	0.0
370	genotype-20	genotype-2	0.0
371	genotype-9	genotype-2	-2.0
372	genotype-4	genotype-2	0.0
373	genotype-10	genotype-2	0.0
374	genotype-14	genotype-2	0.0
375	genotype-25	genotype-2	0.0
376	genotype-6	genotype-2	1.01
377	genotype-19	genotype-2	0.0
378	genotype-2	genotype-13	-3.0
379	genotype-1	genotype-13	-3.0
380	genotype-26	genotype-13	-3.0
381	genotype-31	genotype-13	-3.0
382	genotype-18	genotype-13	-3.0
383	genotype-12	genotype-13	0.0
384	genotype-7	genotype-13	-3.0
385	genotype-8	genotype-13	-2.0
386	genotype-23	genotype-13	-2.0
387	genotype-17	genotype-13	0.0
388	genotype-27	genotype-13	-2.0
389	genotype-22	genotype-13	0.0
390	genotype-29	genotype-13	-3.0
391	genotype-15	genotype-13	-3.0
392	genotype-24	genotype-13	-3.0
393	genotype-30	genotype-13	-3.0
394	genotype-16	genotype-13	-2.0
395	genotype-3	genotype-13	0.0
396	genotype-5	genotype-13	-2.0
397	genotype-28	genotype-13	0.0
398	genotype-20	genotype-13	0.0
399	genotype-9	genotype-13	-2.0
400	genotype-4	genotype-13	0.0
401	genotype-10	genotype-13	0.0
402	genotype-14	genotype-13	2.01
403	genotype-25	genotype-13	2.01
404	genotype-6	genotype-13	2.01
405	genotype-19	genotype-13	2.01
406	genotype-13	genotype-21	-3.0
407	genotype-2	genotype-21	-3.0
408	genotype-1	genotype-21	-3.0
409	genotype-26	genotype-21	-3.0
410	genotype-31	genotype-21	-3.0
411	genotype-18	genotype-21	-3.0
412	genotype-12	genotype-21	-2.0
413	genotype-7	genotype-21	-3.0
414	genotype-8	genotype-21	-2.0
415	genotype-23	genotype-21	-3.0
416	genotype-17	genotype-21	0.0
417	genotype-27	genotype-21	-3.0
418	genotype-22	genotype-21	0.0
419	genotype-29	genotype-21	-3.0
420	genotype-15	genotype-21	-3.0
421	genotype-24	genotype-21	-3.0
422	genotype-30	genotype-21	-3.0
423	genotype-16	genotype-21	-2.0
424	genotype-3	genotype-21	-2.0
425	genotype-5	genotype-21	-2.0
